city,location,parameter,value
Delhi,"North Campus, DU, Delhi - IMD",o3,32.14
Delhi,"North Campus, DU, Delhi - IMD",no2,46.13
Delhi,"North Campus, DU, Delhi - IMD",pm25,97.89
Noida,"Sector - 62, Noida - IMD",co,940
Noida,"Sector - 62, Noida - IMD",pm10,252.53
Delhi,"CRRI Mathura Road, Delhi - IMD",o3,7.49
Delhi,"CRRI Mathura Road, Delhi - IMD",no2,76.68
Delhi,"CRRI Mathura Road, Delhi - IMD",pm25,88.49
Delhi,"Aya Nagar, Delhi - IMD",o3,21.33
Delhi,"Aya Nagar, Delhi - IMD",no2,29.61
Delhi,"Aya Nagar, Delhi - IMD",pm25,103.52
Delhi,"CRRI Mathura Road, Delhi - IMD",co,1530
Delhi,"Lodhi Road, Delhi - IMD",o3,8.22
Delhi,"Lodhi Road, Delhi - IMD",co,430
Delhi,"Lodhi Road, Delhi - IMD",pm10,160.57
Delhi,"Lodhi Road, Delhi - IMD",pm25,44.76
Delhi,"CRRI Mathura Road, Delhi - IMD",pm10,243.36
Delhi,"Aya Nagar, Delhi - IMD",co,1230
Delhi,"Aya Nagar, Delhi - IMD",pm10,210.31
Delhi,"Lodhi Road, Delhi - IMD",no2,16.07
Delhi,"North Campus, DU, Delhi - IMD",co,470
Delhi,"North Campus, DU, Delhi - IMD",pm10,222.22
Noida,"Sector - 62, Noida - IMD",o3,22.43
Noida,"Sector - 62, Noida - IMD",no2,20.6
Noida,"Sector - 62, Noida - IMD",pm25,100.77
Mumbai,US Diplomatic Post: Mumbai,pm25,36
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",o3,56.8
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",co,760
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",so2,12.1
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",no2,14.9
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",pm10,217
Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",pm25,122
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",o3,45.4
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",co,980
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",so2,6.4
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",no2,35.5
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",pm10,213
Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",pm25,98
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",o3,27.4
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",co,1110
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",so2,23.1
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",no2,32.8
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",pm10,215
Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",pm25,44
Kota,"Shrinath Puram, Kota - RSPCB",o3,10.22
Kota,"Shrinath Puram, Kota - RSPCB",co,2000
Kota,"Shrinath Puram, Kota - RSPCB",so2,10.49
Kota,"Shrinath Puram, Kota - RSPCB",no2,28.29
Kota,"Shrinath Puram, Kota - RSPCB",pm10,205
Kota,"Shrinath Puram, Kota - RSPCB",pm25,161.5
Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",o3,6.13
Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",co,1140
